SSID,Count
BoldynPasspoint,3580
LiveBetter,3034
Cellular Wi-Fi Passthrough,2110
Xfinity Mobile,2003
.p,1692
adco,1067
Passpoint WiFi,972
GPGMS_CarrierOffloading,958
Orion,923
cityroam,909
