trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
36.08805847,-115.17683411,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:AE:3D:0D,,infra,,2,0,?,?,?,False,140,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08831787,-115.17552948,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:AE:3D:2D,,infra,,2,0,?,?,?,False,36,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08839417,-115.17723846,OpenRoaming@CLUS,5,20240409-00000,2024-04-09 15:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,24:16:1B:AE:3D:6D,,infra,,2,0,?,?,?,False,36,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08794403,-115.17568207,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:AE:3D:8D,,infra,,2,0,?,?,?,False,60,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08856201,-115.17627716,OpenRoaming@CLUS,3,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-06 06:00:00+00:00,2024-06-06 06:00:00+00:00,24:16:1B:AE:3D:CD,,infra,,2,0,?,?,?,False,100,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.0873642,-115.17423248,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:AE:3E:2D,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08791733,-115.17597961,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:AE:3E:AD,,infra,,2,0,?,?,?,False,60,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08843231,-115.17689514,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:AE:3F:6D,,infra,,2,0,?,?,?,False,52,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08830643,-115.17538452,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:AE:3F:ED,,infra,,2,0,?,?,?,False,52,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.0885849,-115.17688751,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,24:16:1B:AE:41:6D,,infra,,2,0,?,?,?,False,108,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
